です;Là <br>わたしはがくせいです。→ Tôi là học sinh.
ですか;~ phải không <br>これはペンですか。→ Đây là bút phải không?
じゃない;Không là <br>かれはせんせいじゃない。→ Anh ấy không phải là giáo viên.
は;Chủ ngữ / chủ đề <br>わたしはベトナムじんです。→ Tôi là người Việt Nam.
も;Cũng <br>わたしもがくせいです。→ Tôi cũng là học sinh.
の;Của / về <br>これはわたしのほんです。→ Đây là sách của tôi.
で;Tại / bằng <br>バスでがっこうへいきます。→ Tôi đi đến trường bằng xe buýt.
を;Trợ từ hành động <br>パンをたべます。→ Tôi ăn bánh mì.
に / へ;Chỉ hướng <br>にほんへいきます。→ Tôi đi Nhật Bản.
に;Thời gian / địa điểm <br>８じにおきます。→ Tôi dậy lúc 8 giờ.
があります;Có (đồ vật, cây) <br>にわにきがあります。→ Có cây ở sân.
がいます;Có (người, động vật) <br>へやにねこがいます。→ Có mèo trong phòng.
だけ;Chỉ <br>みずだけのみます。→ Tôi chỉ uống nước.
Ｖたい;Muốn làm V <br>にほんへいってすしをたべたいです。→ Tôi muốn đến Nhật ăn sushi.
Ｖませんか;Cùng nhau làm V nhé <br>いっしょにえいがを見ませんか？→ Cùng nhau xem phim nhé?
Ｖましょう;Hãy làm V nhé <br>でんわではなしましょう。→ Hãy nói chuyện qua điện thoại nhé.
Ｖましょうか;Tôi làm V cho bạn nhé <br>ドアをあけましょうか。→ Tôi mở cửa giúp nhé?
Ｖてください;Hãy làm V <br>ここにすわってください。→ Hãy ngồi ở đây.
Ｖないでください;Đừng làm V <br>たばこをすわないでください。→ Đừng hút thuốc.
Ｖてもいいです;Được làm V <br>このへやに入ってもいいです。→ Vào phòng này cũng được.
Ｖてはいけません;Không được làm V <br>ここでたべてはいけません。→ Không được ăn ở đây.
Ｖなくてもいいです;Không cần làm V <br>くつをはかなくてもいいです。→ Không cần mang giày.
なければなりません;Phải làm V <br>しごとをしなければなりません。→ Phải làm việc.
ないといけない;Phải làm V <br>しゅくだいをしないといけない。→ Phải làm bài tập.
なくちゃいけない;Phải làm V <br>レポートをださなくちゃいけない。→ Phải nộp báo cáo.
から まで;Từ ~ đến ~ <br>９じから５じまではたらきます。→ Làm việc từ 9h đến 5h.
に回;Làm ~ lần trong thời gian <br>いっしゅうかんにさん回ジムへいきます。→ 1 tuần đi gym 3 lần.
より;So với <br>このくるまはあのくるまよりはやいです。→ Xe này nhanh hơn xe kia.
ほどない;Không ~ bằng <br>いぬはねこほどかわいくない。→ Chó không dễ thương bằng mèo.
Ｎでがいちばん;Trong N ~ nhất ~ <br>フルーツでいちごがいちばんおいしいです。→ Dâu là ngon nhất.
く/になる;Trở nên <br>びょうきがひどくなりました。→ Bệnh trở nên nặng hơn.
もない;Dù ~ cũng không <br>にほんへいってもしゃしんをとらなかった。→ Đã đi Nhật nhưng không chụp ảnh.
Ｖて、Ｖて、Ｖて;Làm V rồi V rồi V <br>こうえんへいって、ともだちにあって、しゃしんをとりました。→ Đi công viên, gặp bạn và chụp ảnh.
Ｖてから、;Sau khi làm ~ <br>しごとが終わってから、かいものへいきます。→ Sau khi làm xong, tôi đi mua sắm.
たりたりする;Lúc thì ~ lúc thì ~ <br>うたをうたったりダンスをしたりします。→ Lúc thì hát, lúc thì nhảy.
Ｖている;Đang làm, đã làm <br>べんきょうしています。→ Tôi đang học.
Ｖたことがある;Đã từng làm V <br>にほんへいったことがあります。→ Tôi đã từng đi Nhật.
Ｖないことがある;Chưa từng làm V <br>すしをたべないことがあります。→ Tôi chưa từng ăn sushi.
ややなど;Và ~ và ~ còn nữa <br>パンやごはんやラーメンなどがすきです。→ Tôi thích bánh mì, cơm, mì ramen,…
ので;Bởi vì <br>あめなのででかけません。→ Vì trời mưa nên không đi đâu.
でしょう？;Có lẽ ~ ? <br>あしたはいいてんきでしょう？→ Mai chắc trời sẽ đẹp ha?
たぶんでしょう;Chắc có lẽ <br>たぶんかれはこないでしょう。→ Chắc anh ấy sẽ không đến.
とおもう;Nghĩ rằng <br>それはいいアイデアだとおもいます。→ Tôi nghĩ đó là một ý tưởng hay.
といいます;"Nói là <br>かれは「ありがとう」といいます。→ Anh ấy nói ""cảm ơn""."
といいました;"Đã nói rằng <br>かれは「いきます」といいました。→ Anh ấy đã nói ""tôi sẽ đi""."
まえに;Trước khi <br>ごはんをたべるまえにてをあらいます。→ Rửa tay trước khi ăn cơm.
とき;Lúc / khi <br>ねるときにほんをよみます。→ Tôi đọc sách lúc đi ngủ.
たあとで;Sau khi ~ <br>べんきょうしたあとでゲームをします。→ Sau khi học tôi chơi game.
までに(N5);Trước thời điểm <br>ごご３じまでにレポートをだします。→ Nộp báo cáo trước 3 giờ chiều.
と1;Hễ mà <br>ボタンをおすとドアがあきます。→ Hễ bấm nút thì cửa mở.
ても／でも;Dù ~ nhưng~ <br>さむくてもさんぽします。<br>→ Dù trời lạnh, tôi vẫn đi dạo.
たら;Nếu / sau khi <br>おかねがあったら、りょこうします。<br>→ Nếu có tiền, tôi sẽ đi du lịch.
Ｖてあげる;Mình Làm cho ai đó <br>わたしはともだちにプレゼントをあげました。<br>→ Tôi tặng quà cho bạn.
Ｖてくれる;Ai đó làm cho mình <br>ともだちがてつだってくれました。<br>→ Bạn đã giúp tôi.
Ｖてもらう;Được nhận từ ai đó. <br>せんせいにおしえてもらいました。<br>→ Tôi được thầy giáo giảng bài cho.
がわかる;Hiểu ~ <br>にほんごがわかります。<br>→ Tôi hiểu tiếng Nhật.
です＝だろう＝でしょう;Có lẽ ~ <br>かれはがくせいでしょう。<br>→ Có lẽ anh ấy là học sinh.<br>かれはがくせいだろう。→ Anh ấy chắc là học sinh.
です＝である;Là <br>わたしはエンジニアである。<br>→ Tôi là kỹ sư.
と2;Cùng Với / và <br>ともだちとえいがをみます。<br>→ Tôi xem phim cùng với bạn.
ができる;Có thể làm <br>ギターをひくことができます。<br>→ Tôi có thể chơi guitar.
